id,titulo,disciplina,ano,status,id_anterior,titulo_anterior,disciplina_anterior,ano_anterior,status_anterior
100,Educação Financeira - Contagem,Matemática,1,1,20,Números no cotidiano,Matemática,1,1
100,Educação Financeira - Contagem,Matemática,1,1,88,Sistema monetário,Matemática,1,1
117,Textos informativos e instrucionais,L. Portuguesa,2,1,6,Receitas e outras listas contextualizadas,L. Portuguesa,1,1
117,Textos informativos e instrucionais,L. Portuguesa,2,1,106,Jogos com regras,L. Portuguesa,1,1
121,Palavras pra que te quero,L. Portuguesa,2,1,10,Regularidades ortográficas,L. Portuguesa,2,1
121,Palavras pra que te quero,L. Portuguesa,2,1,20762,Letra T,L. Portuguesa,1,1
121,Palavras pra que te quero,L. Portuguesa,2,1,20760,Letra P,L. Portuguesa,1,1
121,Palavras pra que te quero,L. Portuguesa,2,1,20761,Letra L - 20761,L. Portuguesa,1,1
122,Educação Financeira - Adição,Matemática,2,1,10029,Educação Financeira - Conhecendo o sistema monetário,Matemática,2,1
122,Educação Financeira - Adição,Matemática,2,1,20128,Educação Financeira - Valores de 1 a 50,Matemática,2,1
122,Educação Financeira - Adição,Matemática,2,1,53,Adição,Matemática,2,1
122,Educação Financeira - Adição,Matemática,2,1,100,Educação Financeira - Contagem,Matemática,1,1
124,Educação Financeira - Conjuntos,Matemática,1,1,20,Números no cotidiano,Matemática,1,1
128,Discurso direto e indireto,L. Portuguesa,4,1,20390,Pontuação - 4º ano,L. Portuguesa,4,1
128,Discurso direto e indireto,L. Portuguesa,4,1,10008,Pontuação,L. Portuguesa,3,1
142,"Encontros vocálicos: ditongo, tritongo e hiato",L. Portuguesa,4,0,20231,Separação silábica,L. Portuguesa,3,1
10000,Substantivos biformes,L. Portuguesa,4,1,20219,Artigos,L. Portuguesa,4,1
10002,Pronomes de tratamento,L. Portuguesa,4,1,20219,Artigos,L. Portuguesa,4,1
10017,Educação Financeira - Subtração,Matemática,2,1,10029,Educação Financeira - Conhecendo o sistema monetário,Matemática,2,1
10017,Educação Financeira - Subtração,Matemática,2,1,20128,Educação Financeira - Valores de 1 a 50,Matemática,2,1
10017,Educação Financeira - Subtração,Matemática,2,1,100,Educação Financeira - Contagem,Matemática,1,1
10018,As vogais,L. Portuguesa,1,1,20759,"Alfabeto - sons, letras e ordem",L. Portuguesa,1,1
10024,Hábitos de higiene,Ciências,1,1,95,Corpo Humano,Ciências,1,1
10025,Estrutura das sílabas,L. Portuguesa,2,1,20559,As sílabas por dentro das palavras,L. Portuguesa,1,1
10025,Estrutura das sílabas,L. Portuguesa,2,1,20630,Sílabas e mais sílabas,L. Portuguesa,1,1
10025,Estrutura das sílabas,L. Portuguesa,2,1,20769,Construindo o nome das coisas,L. Portuguesa,1,1
10027,Sistema de numeração decimal,Matemática,2,1,10042,As centenas,Matemática,2,1
10027,Sistema de numeração decimal,Matemática,2,1,41,Números naturais - 0 a 10,Matemática,1,1
10027,Sistema de numeração decimal,Matemática,2,1,17,Números naturais - 0 a 50,Matemática,1,1
10029,Educação Financeira - Conhecendo o sistema monetário,Matemática,2,1,88,Sistema monetário,Matemática,1,1
10029,Educação Financeira - Conhecendo o sistema monetário,Matemática,2,1,100,Educação Financeira - Contagem,Matemática,1,1
10030,Cordel,L. Portuguesa,4,1,10075,O poema e sua estrutura,L. Portuguesa,4,1
10030,Cordel,L. Portuguesa,4,1,20200,"Poemas: rimas, versos e estrofes",L. Portuguesa,3,1
10030,Cordel,L. Portuguesa,4,1,20110,Poemas: efeitos de sentido,L. Portuguesa,3,1
10032,Uso de P e B,L. Portuguesa,3,1,54,Letras     F - V -  T - D - P -  B,L. Portuguesa,2,1
10037,As consoantes,L. Portuguesa,1,1,10018,As vogais,L. Portuguesa,1,1
10037,As consoantes,L. Portuguesa,1,1,20759,"Alfabeto - sons, letras e ordem",L. Portuguesa,1,1
10042,As centenas,Matemática,2,1,41,Números naturais - 0 a 10,Matemática,1,1
10042,As centenas,Matemática,2,1,17,Números naturais - 0 a 50,Matemática,1,1
10043,"Sufixos: - oso/osa, - ez/eza, - ês/esa",L. Portuguesa,4,1,20219,Artigos,L. Portuguesa,4,1
10046,Substantivos concretos e abstratos,L. Portuguesa,4,1,20219,Artigos,L. Portuguesa,4,1
10055,Memória e História,História,5,1,20907,Formas de registro do tempo da história,História,5,1
10055,Memória e História,História,5,1,20906,Marcos de memória: construção do patrimônio histórico,História,5,1
10055,Memória e História,História,5,1,20912,Transformações nas trajetórias dos grupos humanos,História,4,1
10075,O poema e sua estrutura,L. Portuguesa,4,1,20200,"Poemas: rimas, versos e estrofes",L. Portuguesa,3,1
10075,O poema e sua estrutura,L. Portuguesa,4,1,20110,Poemas: efeitos de sentido,L. Portuguesa,3,1
10076,Características dos animais,Ciências,3,1,20722,Observando os animais,Ciências,2,1
10089,Antecessor e sucessor,Matemática,2,1,10027,Sistema de numeração decimal,Matemática,2,1
10090,Sequências - 1° ano,Matemática,1,1,17,Números naturais - 0 a 50,Matemática,1,1
10092,Fonema e letra,L. Portuguesa,5,0,30,Palavras com F/V - T/D - P/B - C/G,L. Portuguesa,4,1
20085,Medidas de comprimento,Matemática,3,1,24,Multiplicação,Matemática,3,1
20089,Composição e decomposição,Matemática,2,1,10027,Sistema de numeração decimal,Matemática,2,1
20089,Composição e decomposição,Matemática,2,1,10042,As centenas,Matemática,2,1
20089,Composição e decomposição,Matemática,2,1,50,Unidade e dezena,Matemática,1,1
20093,"Oxítonas, paroxítonas e proparoxítonas",L. Portuguesa,5,1,79,"Acentuação: agudo,circunflexo e til",L. Portuguesa,4,1
20095,Multiplicação com dois algarismos,Matemática,4,1,24,Multiplicação,Matemática,3,1
20099,Múltiplos,Matemática,4,1,20181,"Multiplicação por 10, 100 e 1.000",Matemática,4,1
20099,Múltiplos,Matemática,4,1,20095,Multiplicação com dois algarismos,Matemática,4,1
20099,Múltiplos,Matemática,4,1,73,Cálculo mental,Matemática,4,0
20099,Múltiplos,Matemática,4,1,24,Multiplicação,Matemática,3,1
20108,"Situação problema - unidade, dezena e centena",Matemática,3,1,71,Adição por reagrupamento,Matemática,3,1
20110,Poemas: efeitos de sentido,L. Portuguesa,3,1,20200,"Poemas: rimas, versos e estrofes",L. Portuguesa,3,1
20110,Poemas: efeitos de sentido,L. Portuguesa,3,1,20714,Brincando com cantigas,L. Portuguesa,2,1
20128,Educação Financeira - Valores de 1 a 50,Matemática,2,1,10029,Educação Financeira - Conhecendo o sistema monetário,Matemática,2,1
20128,Educação Financeira - Valores de 1 a 50,Matemática,2,1,88,Sistema monetário,Matemática,1,1
20128,Educação Financeira - Valores de 1 a 50,Matemática,2,1,100,Educação Financeira - Contagem,Matemática,1,1
20129,Agrupamento de 10,Matemática,1,1,41,Números naturais - 0 a 10,Matemática,1,1
20130,Usos do solo,Ciências,3,1,20700,Tipos de solo,Ciências,3,1
20137,"Encontro Vocálico: Ditongo, Tritongo e Hiato",L. Portuguesa,4,1,20231,Separação silábica,L. Portuguesa,3,1
20138,Material Dourado: Adição e Subtração,Matemática,2,1,20089,Composição e decomposição,Matemática,2,1
20138,Material Dourado: Adição e Subtração,Matemática,2,1,10027,Sistema de numeração decimal,Matemática,2,1
20138,Material Dourado: Adição e Subtração,Matemática,2,1,19,Descobrindo a adição,Matemática,1,1
20138,Material Dourado: Adição e Subtração,Matemática,2,1,40,Subtração,Matemática,1,1
20144,Nascer e crescer,Ciências,3,1,10076,Características dos animais,Ciências,3,1
20144,Nascer e crescer,Ciências,3,1,20757,No mundo animal,Ciências,3,1
20148,Cálculos com horas e minutos,Matemática,4,1,20247,Medidas de tempo,Matemática,3,1
20168,A dezena de milhar,Matemática,4,1,20246,O milhar,Matemática,3,1
20168,A dezena de milhar,Matemática,4,1,52,Números por extenso e comparações,Matemática,3,1
20168,A dezena de milhar,Matemática,4,1,20288,Ordenação e comparação de números na reta numérica,Matemática,3,1
20169,A centena de milhar - números de até 6 algarismos,Matemática,5,1,20168,A dezena de milhar,Matemática,4,1
20171,Calculando preços,Matemática,4,1,20181,"Multiplicação por 10, 100 e 1.000",Matemática,4,1
